carbon_price_gbp_per_tCO2,2025,2030,2035,2040,2045,2050
11-85,0-0,9636-10431,32004-38386,58428-78641,,
85-160,,,,57061-78412,75271-83219,
160-235,,,,,74597-125030,
235-310,,,,,77196-125575,76993-84125
310-385,,,,,,74461-173975
