carbon_price_gbp_per_tCO2,2025,2030,2035,2040,2045,2050
0-77,0-0,9636-10431,32004-38386,57061-77982,,
77-154,,,,57630-78641,74597-85292,
154-231,,,,,75271-125030,
231-308,,,,,77196-125575,74461-84125
308-385,,,,,,77352-173975
