CAPEX_bioboiler,CAPEX_gasboiler,CEPCI_2025,DACCS_SCENARIO,FLH_industry,FLH_waste,NETL_2025,cHCN,cHRSG,camine,capture_rate,ccgt_efficiency,ccgt_efficiency_loss,celc,cgas,cliquefy,cpellets,cstorage,cstraw,discount_rate_ccs,drax_efficiency,drax_efficiency_loss,fixate_CAPEX,fraction_fossil_waste,fraction_limestone,lifetime_ccs,pcomp,pcomp_liquefy,qreb,transport_uncertainty,ASSUME_FOAK,DIFFUSE_END_FRACTION,ETS_SCENARIO,scenario,policy,model,gas_increase_2040,year_DACCS_marginal
1.1465513219725598,0.10723190790327039,912.1463970815264,£391,8474.939184306544,7765.655381332534,5.718919285444496,4.091091265930873,8.403745310790052,4.223517197230041,0.9236230547379389,0.4861838767412124,0.10236397965835572,186.89773002925884,65.62813336324714,7.364812251718874,213.40025320865368,26.80549244757742,105.11698567625878,0.0908636374397248,41.33788393374166,0.2213659635198947,0.025400799770782502,0.4103056104677263,0.6231284062854551,24,0.21061624184436023,0.29430078288553224,3.10103326759171,0.058590227027375805,False,0.3938894081503589,£400,4,0,UKCTBO,0.0,2042
1.0773297001167754,0.13963064533667377,890.7761165632008,£322,8042.536308367295,7364.524441554504,5.448976355029418,7.781674623797344,13.400622445941078,4.571887686362537,0.9331722786840682,0.5006597630344595,0.13801647880786747,258.9220906617642,48.03083220439245,6.175167665189157,248.33101572035503,20.75861018912831,161.81788685718047,0.07682527314538562,45.50382154566732,0.23458144007131165,0.03750665419456189,0.5124721196252929,0.5712477102637111,26,0.2458000998655635,0.3429038913784796,3.461986179764459,0.22052465143113426,False,0.3938894081503589,£400,5,0,UKCTBO,0.0,2042
0.8970219944490985,0.16654086644308874,954.719577845746,£391,8329.313023250803,7343.170218938643,5.126766959099073,5.44354778719976,11.79187930343435,3.205525300350918,0.904707960735571,0.5340281711030215,0.14683951534308387,284.80512170602515,55.592979395771465,5.382671731194735,209.51542383768486,24.09191972629184,125.78377838589844,0.06201549379085211,43.28237427117341,0.2685636966783174,0.04333039775202308,0.5418894679436027,0.607926929029377,21,0.29401408733800366,0.36925062808410686,3.3240357277759944,0.17708040805260097,False,0.3938894081503589,£400,6,0,UKCTBO,2.2795173883473,2042
1.0377362377272228,0.1964822594321547,973.1642819138109,£322,8130.795696184486,7843.362769497718,5.990912923140682,5.817076931050796,13.725063983256195,2.604476193083368,0.9182059350346827,0.5157159583139437,0.11275875840783615,153.3057050162006,73.77132124635342,9.134988997369808,184.33425663601255,23.013537917965433,157.37537409711186,0.05015654056706651,40.81839421910288,0.20819678593478141,0.04474394914236289,0.45459636475867804,0.6434159181392195,27,0.33209016163471666,0.3191649612652314,2.896428414817505,0.09900859663664789,False,0.3938894081503589,£400,7,0,UKCTBO,0.0,2042
0.8468500653520682,0.14409835325781892,923.2271383375423,£322,8253.586516455034,7678.782428031102,5.357996594403378,6.638974091671658,9.6020388287507,5.27051998808036,0.9422091411742056,0.46160792443651677,0.12345227840878195,239.56479411795848,30.136877530223003,8.694302195262724,160.7439089886487,28.37926732848662,186.95299691361885,0.08690163517555381,44.759638173958834,0.26399380559726343,0.028070060039196397,0.48319296207076595,0.5595186422287126,30,0.2743215226247137,0.33933952493929787,3.7075982905662634,0.26110054770160185,False,0.3938894081503589,£400,8,0,UKCTBO,0.0,2042
1.1465513219725598,0.10723190790327039,912.1463970815264,£391,8474.939184306544,7765.655381332534,5.718919285444496,4.091091265930873,8.403745310790052,4.223517197230041,0.9236230547379389,0.4861838767412124,0.10236397965835572,186.89773002925884,65.62813336324714,7.364812251718874,213.40025320865368,26.80549244757742,105.11698567625878,0.0908636374397248,41.33788393374166,0.2213659635198947,0.025400799770782502,0.4103056104677263,0.6231284062854551,24,0.21061624184436023,0.29430078288553224,3.10103326759171,0.058590227027375805,False,0.22252055517801922,£200,4,1,UKCTBO,7.08695442951624,2044
1.0773297001167754,0.13963064533667377,890.7761165632008,£322,8042.536308367295,7364.524441554504,5.448976355029418,7.781674623797344,13.400622445941078,4.571887686362537,0.9331722786840682,0.5006597630344595,0.13801647880786747,258.9220906617642,48.03083220439245,6.175167665189157,248.33101572035503,20.75861018912831,161.81788685718047,0.07682527314538562,45.50382154566732,0.23458144007131165,0.03750665419456189,0.5124721196252929,0.5712477102637111,26,0.2458000998655635,0.3429038913784796,3.461986179764459,0.22052465143113426,False,0.22252055517801922,£200,5,1,UKCTBO,14.002223822132434,2044
0.8970219944490985,0.16654086644308874,954.719577845746,£391,8329.313023250803,7343.170218938643,5.126766959099073,5.44354778719976,11.79187930343435,3.205525300350918,0.904707960735571,0.5340281711030215,0.14683951534308387,284.80512170602515,55.592979395771465,5.382671731194735,209.51542383768486,24.09191972629184,125.78377838589844,0.06201549379085211,43.28237427117341,0.2685636966783174,0.04333039775202308,0.5418894679436027,0.607926929029377,21,0.29401408733800366,0.36925062808410686,3.3240357277759944,0.17708040805260097,False,0.22252055517801922,£200,6,1,UKCTBO,15.939623505121823,2044
1.0377362377272228,0.1964822594321547,973.1642819138109,£322,8130.795696184486,7843.362769497718,5.990912923140682,5.817076931050796,13.725063983256195,2.604476193083368,0.9182059350346827,0.5157159583139437,0.11275875840783615,153.3057050162006,73.77132124635342,9.134988997369808,184.33425663601255,23.013537917965433,157.37537409711186,0.05015654056706651,40.81839421910288,0.20819678593478141,0.04474394914236289,0.45459636475867804,0.6434159181392195,27,0.33209016163471666,0.3191649612652314,2.896428414817505,0.09900859663664789,False,0.22252055517801922,£200,7,1,UKCTBO,2.9350746431635133,2044
0.8468500653520682,0.14409835325781892,923.2271383375423,£322,8253.586516455034,7678.782428031102,5.357996594403378,6.638974091671658,9.6020388287507,5.27051998808036,0.9422091411742056,0.46160792443651677,0.12345227840878195,239.56479411795848,30.136877530223003,8.694302195262724,160.7439089886487,28.37926732848662,186.95299691361885,0.08690163517555381,44.759638173958834,0.26399380559726343,0.028070060039196397,0.48319296207076595,0.5595186422287126,30,0.2743215226247137,0.33933952493929787,3.7075982905662634,0.26110054770160185,False,0.22252055517801922,£200,8,1,UKCTBO,20.000644304206727,2045
