sector,site,stack,ktCO2,xCO2,energy_strategy,latitude,longitude,hub,km_hub,land_transport,sea_transport,ccgt_capacity
steel,Scunthorpe Blast Furnaces,Scunthorpe Blast Furnaces-blast,1046.557701918,0.21,Class III-NG,53.575472236280504,-0.611297510505455,Humberside,49.87320886980328,pipeline,,
steel,Scunthorpe Power Station,Scunthorpe Power Station-power,1644.48358347,0.23,Class III-NG,53.575472236280504,-0.611297510505455,Humberside,49.87320886980328,pipeline,,
steel,Scunthorpe Sinter,Scunthorpe Sinter-sinter,666.9501546120001,0.08,Class III-NG,53.575472236280504,-0.611297510505455,Humberside,49.87320886980328,pipeline,,
refinery,Eastham,Eastham-HPU,59.48869606420063,0.24,Class I-HCN,53.31138413929123,-2.94551372499051,Hynet,24.893120488171363,pipeline,,
refinery,Eastham,Eastham-FCC,123.50370595937304,0.17,Class I-HRSG,53.31138413929123,-2.94551372499051,Hynet,24.893120488171363,pipeline,,
refinery,Eastham,Eastham-distillation,144.19542632952977,0.11,Class III-NG,53.31138413929123,-2.94551372499051,Hynet,24.893120488171363,pipeline,,
refinery,Eastham,Eastham-scattered,233.42847042583074,0.08,Class III-NG,53.31138413929123,-2.94551372499051,Hynet,24.893120488171363,pipeline,,
refinery,Eastham,Eastham-power3%,58.19546354106583,0.03,None,53.31138413929123,-2.94551372499051,Hynet,24.893120488171363,pipeline,,
refinery,Fawley Refinery,Fawley Refinery-HPU,303.8586137113731,0.24,Class I-HCN,50.830584248212844,-1.3517555371775485,Bristol,120.87514601320966,truck,ship to Hynet,
refinery,Fawley Refinery,Fawley Refinery-FCC,630.8369045529593,0.17,Class I-HRSG,50.830584248212844,-1.3517555371775485,Bristol,120.87514601320966,truck,ship to Hynet,
refinery,Fawley Refinery,Fawley Refinery-distillation,736.5268571482195,0.11,Class III-NG,50.830584248212844,-1.3517555371775485,Bristol,120.87514601320966,truck,ship to Hynet,
refinery,Fawley Refinery,Fawley Refinery-scattered,1192.3147777152792,0.08,Class III-NG,50.830584248212844,-1.3517555371775485,Bristol,120.87514601320966,truck,ship to Hynet,
refinery,Fawley Refinery,Fawley Refinery-power3%,297.2529916741693,0.03,None,50.830584248212844,-1.3517555371775485,Bristol,120.87514601320966,truck,ship to Hynet,
refinery,Pembroke Refinery,Pembroke Refinery-HPU,229.28792678435116,0.24,Class I-HCN,51.686080550234294,-5.027121705048526,Pembroke,0.6283676445376166,pipeline,ship to Hynet,
refinery,Pembroke Refinery,Pembroke Refinery-FCC,476.0216740849028,0.17,Class I-HRSG,51.686080550234294,-5.027121705048526,Pembroke,0.6283676445376166,pipeline,ship to Hynet,
refinery,Pembroke Refinery,Pembroke Refinery-distillation,555.7739964446772,0.11,Class III-NG,51.686080550234294,-5.027121705048526,Pembroke,0.6283676445376166,pipeline,ship to Hynet,
refinery,Pembroke Refinery,Pembroke Refinery-scattered,899.705886621204,0.08,Class III-NG,51.686080550234294,-5.027121705048526,Pembroke,0.6283676445376166,pipeline,ship to Hynet,
refinery,Pembroke Refinery,Pembroke Refinery-power3%,224.30340663686525,0.03,None,51.686080550234294,-5.027121705048526,Pembroke,0.6283676445376166,pipeline,ship to Hynet,
refinery,South Killingholme,South Killingholme-HPU,192.95854619611288,0.24,Class I-HCN,53.63315124460131,-0.25217000275928014,Humberside,25.953334865878816,pipeline,,
refinery,South Killingholme,South Killingholme-FCC,400.5987209071473,0.17,Class I-HRSG,53.63315124460131,-0.25217000275928014,Humberside,25.953334865878816,pipeline,,
refinery,South Killingholme,South Killingholme-distillation,467.7147369753605,0.11,Class III-NG,53.63315124460131,-0.25217000275928014,Humberside,25.953334865878816,pipeline,,
refinery,South Killingholme,South Killingholme-scattered,757.1525562695299,0.08,Class III-NG,53.63315124460131,-0.25217000275928014,Humberside,25.953334865878816,pipeline,,
refinery,South Killingholme,South Killingholme-power3%,188.76379519184954,0.03,None,53.63315124460131,-0.25217000275928014,Humberside,25.953334865878816,pipeline,,
refinery,Stanlow Refinery,Stanlow Refinery-HPU,178.4660881926019,0.24,Class I-HCN,53.27755202744339,-2.8420354847831546,Hynet,32.38642099518374,pipeline,,
refinery,Stanlow Refinery,Stanlow Refinery-FCC,370.51111787811914,0.17,Class I-HRSG,53.27755202744339,-2.8420354847831546,Hynet,32.38642099518374,pipeline,,
refinery,Stanlow Refinery,Stanlow Refinery-distillation,432.58627898858936,0.11,Class III-NG,53.27755202744339,-2.8420354847831546,Hynet,32.38642099518374,pipeline,,
refinery,Stanlow Refinery,Stanlow Refinery-scattered,700.2854112774922,0.08,Class III-NG,53.27755202744339,-2.8420354847831546,Hynet,32.38642099518374,pipeline,,
refinery,Stanlow Refinery,Stanlow Refinery-power3%,174.5863906231975,0.03,None,53.27755202744339,-2.8420354847831546,Hynet,32.38642099518374,pipeline,,
cement,Aberthaw,Aberthaw-cement,357.43855135079997,0.2,Biomass,51.39871420184746,-3.3912710625728666,Bristol,49.443522170475084,pipeline,ship to Hynet,
cement,Cauldon Cement,Cauldon Cement-cement,537.1638143700001,0.2,Biomass,53.043719808232346,-1.8748034004789338,Hynet,101.712691925278,truck,,
cement,Dunbar Works,Dunbar Works-cement,443.21561914200004,0.2,Biomass,55.97884706230757,-2.471103117694486,Teeside,174.09145768166724,truck,,
cement,Hope Cement Works,Hope Cement Works-cement,1056.290602302,0.2,Biomass,53.337492541529556,-1.7525428619825802,Hynet,103.78471141645261,truck,,
cement,Ketton,Ketton-cement,668.926674294,0.2,Biomass,52.63653680776998,-0.5473766230597855,Humberside,118.59507338910258,truck,,
cement,New Rugby,New Rugby-cement,911.7928532640001,0.2,Biomass,52.37628309513931,-1.2860373692845457,Bristol,136.4930299833787,truck,ship to Hynet,
cement,Padeswood,Padeswood-cement,495.368655552,0.2,Biomass,53.15219612793139,-3.0616410920335166,Hynet,27.40615654676479,pipeline,,
cement,Ribblesdale,Ribblesdale-cement,513.44298105,0.2,Biomass,53.88888385048366,-2.378810233387536,Hynet,86.37931047920607,truck,,
