site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Tees Valley-W2E,320.35710000000006,368.5829,304.33924500000006,350.153755,654.493,16.017855000000015,101.78762348450284
Wilton 11-W2E,188.20410000000004,216.53589999999997,178.79389499999996,205.70910499999994,1038.996,9.410205000000008,106.26685504355898
Runcorn-W2E,433.37070000000006,498.60929999999996,411.702165,473.6788349999999,1924.377,21.668535000000023,107.65861694170593
Riverside-W2E,360.0030000000001,414.19699999999995,342.00285,393.48714999999993,2659.867,18.000150000000016,109.3605782671274
Ferrybridge FM1-W2E,300.3063000000001,345.5137,285.29098500000003,328.23801499999996,3273.396,15.015315000000015,112.19107542656172
Ferrybridge FM2-W2E,298.48350000000005,343.4164999999999,283.559325,326.24567499999995,3883.201,14.924175000000016,112.2382832970273
Kemsley-W2E,257.9262,296.75379999999996,245.02989000000002,281.91610999999995,4410.147,12.896310000000014,112.33371715034878
Allington-W2E,213.26760000000004,245.37239999999994,202.60422000000003,233.10377999999997,4845.855,10.663380000000009,112.35339185064072
Edmonton-W2E,220.55880000000005,253.76119999999995,209.53086,241.07313999999997,5296.459,11.027940000000012,113.9308994567351
SELCHP-W2E,178.17870000000002,205.0013,169.269765,194.75123499999998,5660.48,8.908935000000008,115.89402472748891
Rookery South C-W2E,268.86300000000006,309.337,255.41985,293.8701499999999,6209.7699999999995,13.44315000000001,116.14613163956976
North Hykeham-W2E,80.65890000000002,92.80109999999999,76.625955,88.16104499999999,6374.557,4.032945000000004,116.3359206634951
Lakeside-W2E,188.20410000000004,216.53589999999997,178.79389499999996,205.70910499999994,6759.0599999999995,9.410205000000008,116.44364232288788
Trident Park-W2E,187.29270000000002,215.48729999999995,177.92806500000003,204.712935,7141.700999999999,9.364635000000009,117.56061682782703
Beddington Lane-W2E,150.83670000000004,173.54329999999996,143.29486500000002,164.86613499999999,7449.861999999999,7.541835000000007,117.56615567834582
Allerton Park-W2E,123.49470000000001,142.08529999999996,117.31996499999998,134.98103499999996,7702.162999999999,6.174735000000005,118.02222175392326
Severnside-W2E,182.73570000000004,210.24429999999998,173.598915,199.73208499999998,8075.493999999999,9.136785000000009,118.19595262630908
Avonmouth-W2E,178.17870000000002,205.0013,169.269765,194.75123499999998,8439.515,8.908935000000008,118.43822154732113
Tyseley-W2E,165.41910000000004,190.32089999999997,157.148145,180.80485499999995,8777.467999999999,8.270955000000008,119.70336421916927
Great Blakenham-W2E,134.43150000000003,154.6685,127.709925,146.93507499999996,9052.113,6.721575000000005,120.41051259825336
Four Ashes-W2E,150.83670000000004,173.54329999999996,143.29486500000002,164.86613499999999,9360.274,7.541835000000007,120.64597288130064
Ardley-W2E,154.93800000000002,178.26199999999997,147.19109999999998,169.34889999999996,9676.813999999998,7.746900000000007,121.17104715543941
Coventry-W2E,133.06440000000003,153.0956,126.41118,145.44081999999997,9948.666,6.653220000000006,123.20196967578487
Greatmoor-W2E,125.77320000000003,144.7068,119.48454000000001,137.47145999999998,10205.622,6.288660000000007,123.43597805780897
Marchwood-W2E,95.24130000000001,109.57869999999998,90.47923499999999,104.09976499999998,10400.201,4.762065000000004,125.39526977583233
Portsmouth-W2E,86.58300000000001,99.61699999999998,82.25384999999999,94.63614999999996,10577.090999999999,4.329150000000004,126.69970440794668
Eastcroft-W2E,84.76020000000001,97.51979999999999,80.52219,92.64380999999997,10750.256999999998,4.238010000000004,130.48243514641194
Dunbar-W2E,162.22920000000002,186.65079999999998,154.11774,177.31825999999995,11081.692999999997,8.111460000000006,130.61120440239927
Millerhill-W2E,74.27910000000001,85.4609,70.565145,81.18785499999998,11233.445999999998,3.713955000000003,130.69790572997533
Parc Adfer-W2E,94.32990000000002,108.53009999999999,89.61340500000001,103.103595,11426.162999999999,4.7164950000000045,131.28157227785067
Newhurst-W2E,135.79860000000002,156.2414,129.00867,148.42932999999996,11703.600999999999,6.789930000000006,131.41300598124064
Kirklees-W2E,60.152400000000014,69.2076,57.14477999999999,65.74721999999997,11826.492999999999,3.0076200000000024,133.237199144462
