year,ETS_price,CSU_cost,investment_year,plant,CO2_captured_fossil,CO2_captured_bio,CCS_cost,marginal_plant,csu_diluted_cost,csu_gross_profit,csu_net_profit,ctbo_diluted_cost,ctbo_fossil_profit,ctbo_gross_profit,ctbo_net_profit
2045,97.74999999999999,235.05999999999995,2036.0,Ribblesdale-cement,487.7708319975,0.0,110.27984026304138,False,55.66220799999999,235.05999999999995,166.86795173695856,28579.37000734515,114655.41176933232,114655.41176933232,81393.31965245496
2045,97.74999999999999,235.05999999999995,2036.0,Devonport-W2E,111.259155,128.00784499999995,110.56037127867448,False,0.0,235.05999999999995,222.24962872132545,0.0,26152.576974299995,56242.10101999997,53177.00191526536
2045,97.74999999999999,235.05999999999995,2036.0,Stanlow Refinery-remaining,331.559342251056,0.0,111.0948113841386,False,150.43839999999997,235.05999999999995,71.27678861586136,52504.481003475004,77936.33898953321,77936.33898953321,23632.485151242552
2045,97.74999999999999,235.05999999999995,2036.0,Cornwall-W2E,103.46668499999998,119.04231499999996,111.26091394249804,False,0.0,235.05999999999995,221.54908605750188,0.0,24320.87897609999,52302.965539999976,49296.66558956868
2045,97.74999999999999,235.05999999999995,2036.0,Lindsey Oil Refinery-remaining,163.5588306439668,0.0,112.50673560849224,False,150.43839999999997,235.05999999999995,69.86486439150772,25900.556618894036,38446.138731170824,38446.138731170824,11427.015522974318
2045,97.74999999999999,235.05999999999995,2036.0,Grangemouth Refinery-crackers,193.40584394892005,0.0,112.85372629908524,False,150.43839999999997,235.05999999999995,69.51787370091472,30627.016541394954,45461.977678633135,45461.977678633135,13445.163032659846
2045,97.74999999999999,235.05999999999995,2036.0,Immingham-CCGT,2178.7933907240995,0.0,113.22938648173928,False,150.43839999999997,235.05999999999995,69.14221351826069,345025.46487485094,512147.1744236067,512147.1744236067,150646.59783362088
2045,97.74999999999999,235.05999999999995,2036.0,Pembroke Refinery-crackers,453.1676492086801,0.0,113.4052387813486,False,150.43839999999997,235.05999999999995,68.96636121865134,71761.91166180535,106521.58762299232,106521.58762299232,31253.32378793291
2045,97.74999999999999,235.05999999999995,2036.0,Marchwood  Power  Station-CCGT,1815.7533444639,0.0,113.8010872614569,False,150.43839999999997,235.05999999999995,68.57051273854307,287535.8188797873,426810.98114968423,426810.98114968423,124507.13783661404
2045,97.74999999999999,235.05999999999995,2036.0,Pembroke Power Station-CCGT,5026.790800587,0.0,114.10149135425488,False,150.43839999999997,235.05999999999995,68.2701086457451,796023.5422895023,1181597.44558598,1181597.44558598,343179.5540955065
2045,97.74999999999999,235.05999999999995,2037.0,Enfield Power Station-CCGT,806.3891587964999,0.0,114.210665248085,False,150.43839999999997,235.05999999999995,68.16093475191497,127696.73139651724,189549.83566670524,189549.83566670524,54964.23883737983
2045,97.74999999999999,235.05999999999995,2037.0,Saltend-CCGT,2179.7384288931,0.0,114.39422665341996,False,150.43839999999997,235.05999999999995,67.97737334658001,345175.11753809656,512369.3150956119,512369.3150956119,148172.89297875398
2045,97.74999999999999,235.05999999999995,2038.0,Dunbar Works-cement,421.0548381849,0.0,115.2899807440898,False,55.66220799999999,235.05999999999995,161.85781125591012,24670.359981530783,98973.15026374257,98973.15026374257,68151.01452731932
2045,97.74999999999999,235.05999999999995,2038.0,Baddesley-W2E,41.55984,47.81616,115.71792826828629,False,0.0,235.05999999999995,217.09207173171365,0.0,9769.055990399998,21008.722559999995,19402.82100309364
2045,97.74999999999999,235.05999999999995,2038.0,Pembroke Refinery-smr,267.3689130331212,0.0,115.79165303349464,False,150.43839999999997,235.05999999999995,66.5799469665053,42339.52788046515,62847.73669756546,62847.73669756546,17801.40805023738
2045,97.74999999999999,235.05999999999995,2038.0,Battlefield-W2E,39.82818,45.82381999999999,116.88048974174758,False,0.0,235.05999999999995,215.92951025825235,0.0,9362.011990799998,20133.359119999994,18494.79441263983
2045,97.74999999999999,235.05999999999995,2038.0,Cauldon Cement-cement,510.3056236515,0.0,117.75527401276588,False,55.66220799999999,235.05999999999995,159.39251798723404,29899.72396553633,119952.43989552156,119952.43989552156,81338.8982968584
2045,97.74999999999999,235.05999999999995,2038.0,Grangemouth Refinery-smr,114.1094479298628,0.0,117.77895832477446,False,150.43839999999997,235.05999999999995,64.59264167522548,18069.939759423018,26822.56683039354,26822.56683039354,7370.630681891427
2045,97.74999999999999,235.05999999999995,2038.0,Keadby-CCGT,1131.0949420923002,0.0,118.2831670107766,False,150.43839999999997,235.05999999999995,64.08843298922335,179115.90877521923,265875.177088216,265875.177088216,72490.10240073185
2045,97.74999999999999,235.05999999999995,2038.0,Pembroke Refinery-distillation,385.192501827378,0.0,118.48214255204424,False,150.43839999999997,235.05999999999995,63.88945744795572,60997.62491253455,90543.34947954345,90543.34947954345,24609.739954771874
2045,97.74999999999999,235.05999999999995,2038.0,Grangemouth Refinery-power,288.1747074838908,0.0,118.82313321357302,False,150.43839999999997,235.05999999999995,63.54846678642696,45634.25464667848,67738.34674116336,67738.34674116336,18313.06082722834
2045,97.74999999999999,235.05999999999995,2038.0,Grangemouth Refinery-distillation,164.394967356582,0.0,119.23181200368631,False,150.43839999999997,235.05999999999995,63.13978799631366,26032.96406018571,38642.68102683815,38642.68102683815,10379.863386555491
