CEPCI_2025,DACCS_EXPENSIVE,FLH_industry,FOAK_MULTIPLIER,amine_cost,capture_rate,cbio,celc,cement_process_fraction,cement_xCO2,csteam,discount_rate_ccs,drax_efficiency_penalty,drax_xCO2,emission_factor_bio,extra_transtorage,fixed,lifetime_ccs,pcompr,qreb,w2e_xCO2,DIFFUSE_END_FRACTION,ETS_SCENARIO,scenario,policy,model,gas_increase_pct_2040,gas_increase_pct_2050,gas_increase_abs_2040,gas_increase_abs_2050
941.3620960065393,True,8586.592355006887,1.9400971846636135,50.60939513690213,0.9486732070103723,95.32222662792736,219.2812363632017,0.6440974509537774,0.1965786459703563,3.539570269714794,0.0789513116286927,0.27706841856976444,0.12778441433161677,0.3580375138895506,27.28042445625428,0.046645381455909886,29,0.31551810177785833,3.851178926773685,0.11375310503651122,0.23059322484493897,Low,10,0,UKCTBO,13.128385121655873,77.99984126984127,24.233686096064577,143.979907
927.0044326042683,True,8501.173922709659,1.8227792387545207,53.36673133848941,0.9315888665945116,82.1869525399128,236.788793373323,0.6046053294278916,0.18413656719120255,3.2113424444733605,0.09201263952870775,0.27233444806501617,0.14381816242787615,0.36965619992378446,23.212920785463613,0.0480807666559627,20,0.40836671310201195,3.216734329541161,0.12051115495093817,0.23059322484493897,Low,11,0,UKCTBO,14.603831166090112,77.99984126984127,26.95721194948574,143.979907
962.568869224437,False,8410.400209457079,1.638622036487409,33.306669967717085,0.9173801610133525,85.38999077675552,263.4749844924566,0.607699917379925,0.20484205288936574,3.6197254028949075,0.11219756134491954,0.2076896707773679,0.1420320671795912,0.2926465364503692,29.25890450866794,0.03432665659111336,26,0.32622703756178273,3.7976775679843624,0.12137486802763764,0.23059322484493897,Low,12,0,UKCTBO,16.016982064057316,55.6679365079365,29.5657471920434,102.75744399999998
967.9759898361126,True,8471.694839090713,1.7811916992653274,42.260945033137034,0.9255157367168513,83.13567219231747,272.4085111457728,0.6786840179842735,0.18784445882141623,4.132706541658955,0.08172543675504003,0.278713620885584,0.11713505545223662,0.3645710713130801,26.23473314685311,0.03057129612407164,30,0.4026467993699695,3.8764782198269936,0.12709769687181785,0.23059322484493897,Low,13,0,UKCTBO,20.08485461543535,77.99984126984127,37.074633134632116,143.979907
938.6238308423756,True,8460.475989847011,1.8014038456663646,55.49552683009475,0.9446611807959576,102.14929729963117,244.98149646029316,0.5911896525693917,0.20691392174091613,3.176141122401706,0.10211170837502544,0.26139542942894406,0.12267022024613305,0.3544071240677844,31.292616224927976,0.03822461235779512,30,0.3775272655981153,3.3740309691206027,0.12964185902343234,0.23059322484493897,Low,14,0,UKCTBO,15.130936277610422,77.99984126984127,27.93019527484108,143.979907
899.9422042056358,False,8571.444201589407,1.5171503515234552,43.50286601519791,0.9049932085447232,146.26915426376922,210.04759994612658,0.6609962627184296,0.19410936980152682,3.0144441322596536,0.0887451862209051,0.21552895244129955,0.12653786609506454,0.2882087454216887,25.43423293555921,0.03695567538544249,25,0.41175902244549,3.418028502286766,0.09329909595145268,0.23059322484493897,Low,15,0,UKCTBO,11.275145973296684,55.6679365079365,20.812791952108352,102.75744399999998
882.4054762940223,False,8538.145526929477,1.560901607152741,56.98686051475997,0.9457591413017472,135.39585091048932,251.12214159386266,0.674997433831958,0.1833744779028763,4.713569016534931,0.10691189497491112,0.2542491197163186,0.11914265042013764,0.36027868104218763,25.326814839419008,0.03762358461380607,22,0.30687677685780645,3.5383562049074317,0.09716556506014523,0.23059322484493897,Low,16,0,UKCTBO,13.33643082969267,55.6679365079365,24.6177176685297,102.75744399999998
887.2661287199932,False,8491.924923769182,1.7584003039337268,54.64561808059003,0.9205820662138379,97.82315846158062,241.31181692729837,0.6352136059191515,0.18613299226360447,4.4091685242029275,0.06399349766737877,0.20969325789782173,0.13507694320332864,0.3061392056964961,32.00959488280506,0.04788922693793425,25,0.33065875700566166,3.0892268254525357,0.12224967657693568,0.23059322484493897,Low,17,0,UKCTBO,9.888209306516337,55.6679365079365,18.252645558898507,102.75744399999998
975.8278327376859,False,8497.72165663377,1.6623880595444347,46.309560529592666,0.9409888876978586,132.84237686606116,207.05401490730438,0.5821166505679515,0.19943339982878688,3.494338337939827,0.09903373052687245,0.21089125165327904,0.14902059296633677,0.29489860693475906,39.746902335980415,0.0350930056885372,27,0.30094369552320355,3.2591471123612643,0.09573325805480719,0.23059322484493897,Low,18,0,UKCTBO,11.885358298384899,55.6679365079365,21.939182882988685,102.75744399999998
954.8413769317417,True,8455.592499629223,1.577610927616972,30.05728697752493,0.9010839234495224,155.77111601811862,281.57079038884376,0.6213167670214228,0.19070397268593778,4.299609244527874,0.09761818523535717,0.21912308648404635,0.1451267382518348,0.3520730103803089,38.99815371064034,0.043455163737697575,21,0.39851089163326026,3.3327555862035343,0.1049967046523736,0.23059322484493897,Low,19,0,UKCTBO,17.133306387112462,77.99984126984127,31.626370259970894,143.979907
931.6205003411279,True,8436.2005382675,1.696106678758349,57.45627495211652,0.908513223579496,88.01393144273922,230.26184698417092,0.6147427709285647,0.2024628374671228,3.9525996499454594,0.11713179813028346,0.23794685096758564,0.13119969912971458,0.2814339607329393,35.53327033837232,0.04304564415578864,23,0.3852714605779624,3.9324004171687577,0.09084029236921307,0.23059322484493897,Low,20,0,UKCTBO,17.122545263321534,77.99984126984127,31.60650630156522,143.979907
926.0937959802652,True,8599.856997638823,1.8869518647148475,37.5223601747241,0.9273851822961326,158.02309230500094,229.93704734065756,0.6170493246363532,0.20544852897425014,3.7530929569375537,0.11136082616057671,0.2643957501381603,0.11131321780159634,0.37108176985168834,27.986194784620498,0.04982037765049946,26,0.31109937860120995,3.3575964809896983,0.09427932508492144,0.23059322484493897,Low,21,0,UKCTBO,13.421541978975718,77.99984126984127,24.77482433899128,143.979907
906.1274359176605,False,8420.216265557156,1.5051679247312792,31.929558575269535,0.9220092006961901,128.57200930451086,259.27206193282086,0.6504020020197394,0.21798523653061153,4.600562552982916,0.07002344340608051,0.23272189024098594,0.11330691164426386,0.33656311542304385,32.75618628415616,0.03223067615868469,21,0.4312898093639,3.297359340223131,0.12379100220166565,0.23059322484493897,Low,22,0,UKCTBO,13.833089976531495,55.6679365079365,25.53450078767949,102.75744399999998
917.1729160528205,False,8524.791070565463,1.8364127056386064,45.42042516762351,0.9375301701096752,151.6093725642136,200.0039343871615,0.6130238519092874,0.2034962460726285,4.910292374003864,0.115097514461343,0.2367123215495726,0.13238798903736787,0.3475838185876772,33.42409348876621,0.04105262902030028,29,0.37244221956223333,3.8233749455703645,0.10333726717926746,0.23059322484493897,Low,23,0,UKCTBO,13.400773538122298,55.6679365079365,24.73648787401995,102.75744399999998
