NewID, Type, Industry_Proximity, Lat, Lon
1, Power BECCS, True, 53.73602676627713, -0.9963122738360263
2, CCGT CCUS, True, 53.07422137619397, -0.8632430294231576
3, CCGT CCUS, True, 51.683450808552465, -4.994330980422951
4, Refinery CHP, True, 53.63294521817648, -0.24404935655336457
5, Refinery H2, True, 50.834972825209334, -1.358035385258645
6, Power BECCS, Maybe, 55.2037920258752, -1.521122736215978
7, CHP CCUS, True, 53.638808173392775, -0.2367806077662357
8, H2 CCUS, True, 54.60144386862923, -1.1915891696872793
9, CCGT CCUS, True, 54.57460493671645, -1.1295764697289943
10, CCGT CCUS, Maybe, 53.602192536834615, -0.14454561195190527
11, H2 CCUS, True, 53.73411146489221, -0.24013256671252117
12, H2 CCUS, True, 53.63818939326004, -0.2370856142859444
