Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code
EDF Energy,Roade,Wind,Onshore,No,Wind,, 7.2 ,LV,England,East Midlands,NN72EG,,477964.0,252105.0,2014,WON-000642
EDF Energy,Barmoor,Wind,Onshore,No,Wind,, 12.0 ,LV,England,North East,TD152QD,,393797.0,634046.0,2014,WON-000655
EDF Energy,Park Spring,Wind,Onshore,No,Wind,, 8.6 ,LV,England,Yorkshire and the Humber,S72 7GX,,439689.0,408763.0,2015,WON-000761
EDF Energy,Burnhead Moss,Wind,Onshore,No,Wind,, 26.0 ,LV,Scotland,Scotland,FK12JW,,288503.0,671903.0,2016,WON-000947
EDF Energy,Rhodders,Wind,Onshore,No,Wind,, 12.3 ,LV,Scotland,Scotland,FK147JZ,,288738.0,697461.0,2016,WON-000948
EDF Energy,Pearie Law,Wind,Onshore,No,Wind,, 19.2 ,LV,Scotland,Scotland,EH558RT,,302205.0,659690.0,2016,WON-000980
EDF Energy,Corriemoillie,Wind,Onshore,No,Wind,, 48.5 ,HV,Scotland,Scotland,IV232PQ,,234700.0,867700.0,2017,WON-001156
EDF Energy,Beckburn,Wind,Onshore,No,Wind,, 31.1 ,LV,England,North West,DG165HU,,334466.0,568940.0,2017,WON-001164
EDF Energy,Dorenell,Wind,Onshore,No,Wind,, 177.0 ,HV,Scotland,Scotland,AB554DT,,332000.0,829500.0,2018,WON-001271
EDF Energy,Burnfoot East,Wind,Onshore,No,Wind,, 10.8 ,LV,Scotland,Scotland,FK147JZ,NN9468204706,294682.0,704706.0,2020,WON-001285
EDF Energy,West Benhar,Wind,Onshore,No,Wind,, 30.1 ,LV,Scotland,Scotland,ML7 5TF,NS8956061750,289560.0,661750.0,2023,WON-001557
Eneco Wind UK,Oaklands,Solar,PV,No,Solar,, 5.0 ,LV,England,South West,,SY900894,389957.0,89555.0,2015,SOL-000928
Eneco Wind UK,Tullo,Wind,Onshore,No,Wind,, 17.5 ,HV,Scotland,Scotland,,NO757723,387283.0,785873.0,2010,WON-000392
Eneco Wind UK,Lochluichart,Wind,Onshore,No,Wind,, 69.0 ,HV,Scotland,Scotland,,NH333680,232030.0,866235.0,2013,WON-000560
Eneco Wind UK,Twinshiels,Wind,Onshore,No,Wind,, 25.0 ,HV,Scotland,Scotland,,NO757723,375955.0,771728.0,2014,WON-000644
Eneco Wind UK,Burn of Whilk,Wind,Onshore,No,Wind,, 22.5 ,HV,Scotland,Scotland,,ND293407,326232.0,939965.0,2015,WON-000754
Eneco Wind UK,Moy,Wind,Onshore,No,Wind,, 66.0 ,HV,Scotland,Scotland,,NH779370,276741.0,835240.0,2016,WON-000949
Energy Capital Partners,Saltend Power Station,Fossil Fuel,CCGT,Yes,Natural Gas,," 1,200.0 ",HV,England,Yorkshire and the Humber,HU128GA,TA162282,509793.0,428825.0,2000,GAS-000198
Energy Capital Partners,Indian Queens Power Ltd,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,, 140.0 ,HV,England,South West,PL26 8BY,SW940591,191739.0,58385.0,1996,OIL-000168
Engie Power,Ffestiniog Power Station,Pumped Hydro,Pumped hydro,No,Pumped hydro,, 360.0 ,HV,Wales,Wales,,SH679444,267900.0,344400.0,1963,HST-000101
Engie Power,Dinorwig Power Station,Pumped Hydro,Pumped hydro,No,Pumped hydro,," 1,800.0 ",HV,Wales,Wales,,SH594600,259400.0,360000.0,1984,HST-000128
Engie Power,Capel Grange Solar Energy Ltd,Solar,PV,No,Solar,, 4.1 ,LV,England,South East,TN126QX,,565242.0,144832.0,2016,SOL-001036
Engie Power,Scotia Wind (Craigengelt) Ltd,Wind,Onshore,No,Wind,, 20.0 ,LV,Scotland,Scotland,FK79QS,,272451.0,686495.0,2010,WON-000386
Engie Power,Crimp Wind Power Ltd,Wind,Onshore,No,Wind,, 2.4 ,LV,England,South West,EX239PD,,225180.0,115445.0,2011,WON-000414
Engie Power,Flimby Wind Energy Ltd,Wind,Onshore,No,Wind,, 6.2 ,LV,England,North West,CA158SU,,302500.0,533500.0,2013,WON-000532
Engie Power,Barlockhart Moor Wind Energy Ltd,Wind,Onshore,No,Wind,, 8.2 ,HV,Scotland,Scotland,DG80JQ,,221183.0,555886.0,2013,WON-000549
Engie Power,Sober Hill Wind Farm Ltd,Wind,Onshore,No,Wind,, 12.3 ,HV,England,Yorkshire and the Humber,YO434TG,,480972.0,437663.0,2013,WON-000564
Engie Power,Blantyre Muir Wind Energy Ltd,Wind,Onshore,No,Wind,, 12.3 ,LV,Scotland,Scotland,G720TR,,268888.0,651781.0,2014,WON-000637
Engie Power,Carsington Wind Energy Ltd,Wind,Onshore,No,Wind,, 8.2 ,LV,England,East Midlands,DE44HF,,424640.0,354200.0,2014,WON-000639
Engie Power,Cairnborrow Wind Energy Ltd,Wind,Onshore,No,Wind,, 10.3 ,HV,Scotland,Scotland,AB544XP,,346153.0,841867.0,2017,WON-001152
EPR,EPR Eye Ltd,Bioenergy,Bioenergy,No,Biomass,, 14.3 ,LV,England,East of England,IP238BW,,613050.0,275050.0,1992,BIO-000134
EPR,EPR Glanford Ltd,Bioenergy,Bioenergy,No,Biomass,, 14.0 ,HV,England,Yorkshire and the Humber,DN158SB,SE859147,486050.0,415050.0,1993,BIO-000137
EPR,EPR Thetford Ltd,Bioenergy,Bioenergy,No,Biomass,, 41.5 ,LV,England,East of England,IP241LX,,585300.0,286900.0,1998,BIO-000175
